number_of_steps avg_p1 avg_p2
650000 0.5 -0.25
651000 0.5 0.0
652000 1.0 0.5
653000 1.0 0.0
654000 0.5 0.25
655000 1.0 -0.25
656000 0.5 -0.25
657000 0.5 -0.25
658000 0.0 0.25
659000 0.0 0.25
660000 0.0 -0.25
661000 0.0 0.25
662000 0.5 -0.25
663000 0.0 -0.25
664000 1.0 -0.75
665000 1.0 0.0
666000 0.0 0.0
667000 1.0 0.25
668000 1.0 -0.5
669000 0.0 -0.25
670000 1.0 0.5
671000 1.0 0.0
672000 0.5 -0.5
673000 1.0 0.5
674000 0.5 0.5
675000 1.0 0.5
676000 1.0 0.25
677000 0.0 0.25
678000 0.5 0.5
679000 1.0 -0.5
680000 1.0 0.0
681000 1.0 -0.5
682000 0.5 0.0
683000 0.0 0.0
684000 1.0 0.0
685000 0.5 0.0
686000 0.0 0.25
687000 1.0 0.0
688000 0.5 0.25
689000 1.0 0.0
690000 0.5 -0.25
691000 0.5 0.0
692000 1.0 0.0
693000 0.5 0.25
694000 0.5 0.0
695000 0.5 -0.5
696000 0.5 0.0
697000 0.5 0.0
698000 0.5 0.25
699000 0.5 -0.25
700000 0.5 0.25
701000 0.5 -0.5
702000 0.0 -0.25
703000 1.0 0.0
704000 1.0 -0.25
705000 1.0 0.5
706000 0.5 0.5
707000 0.0 0.5
708000 1.0 0.25
709000 0.5 0.0
710000 0.0 -0.5
711000 1.0 0.25
712000 0.5 -0.25
713000 0.5 0.0
714000 0.5 -0.5
715000 0.0 0.0
716000 1.0 -0.25
717000 0.5 -0.25
718000 0.5 0.5
719000 0.0 0.25
720000 0.5 -0.25
721000 0.5 0.75
722000 0.5 0.0
723000 0.5 0.25
724000 0.5 0.0
725000 1.0 0.25
726000 1.0 0.0
727000 0.5 0.25
728000 1.0 0.0
729000 0.0 0.5
730000 0.5 -0.25
731000 1.0 0.0
732000 0.0 0.0
733000 0.5 -0.25
734000 0.5 0.25
735000 0.5 -0.5
736000 1.0 -0.5
737000 -0.5 -0.25
738000 0.5 0.5
739000 0.5 0.25
740000 1.0 0.0
741000 0.0 0.0
742000 1.0 -0.25
743000 1.0 0.25
744000 -0.5 -0.25
745000 0.5 0.5
746000 0.5 0.25
747000 0.0 -0.25
748000 1.0 0.25
749000 0.0 0.0
750000 0.0 0.25
751000 1.0 0.0
752000 0.5 0.75
753000 0.5 0.25
754000 0.5 -0.25
755000 0.0 -0.25
756000 0.0 0.5
757000 0.0 0.25
758000 0.0 0.25
759000 0.0 0.25
760000 1.0 0.25
761000 1.0 0.5
762000 0.5 -0.5
763000 1.0 0.25
764000 1.0 0.0
765000 0.5 0.25
766000 1.0 0.5
767000 0.5 0.5
768000 1.0 0.5
769000 0.5 -0.5
770000 0.5 0.0
771000 -0.5 0.25
772000 -0.5 -0.25
773000 1.0 -0.5
774000 1.0 -0.25
775000 1.0 0.0
776000 1.0 -0.25
777000 0.5 0.0
778000 0.5 -0.75
779000 0.5 0.0
780000 0.0 0.0
781000 0.5 0.25
782000 1.0 0.25
783000 0.5 0.0
784000 0.5 0.25
785000 0.5 0.5
786000 1.0 -0.25
787000 1.0 0.0
788000 0.5 -0.25
789000 0.5 -0.25
790000 1.0 -0.5
791000 0.5 0.0
792000 0.5 0.5
793000 0.0 0.0
794000 1.0 0.5
795000 0.5 0.25
796000 1.0 0.0
797000 0.0 0.5
798000 0.5 0.5
799000 0.5 0.25
800000 0.5 0.0
801000 1.0 0.5
802000 0.5 0.25
803000 1.0 0.0
804000 0.0 -0.25
805000 1.0 -0.75
806000 0.5 0.25
807000 1.0 0.75
808000 0.5 0.25
809000 0.0 0.0
810000 0.5 0.0
811000 1.0 0.5
812000 0.5 0.25
813000 0.5 0.25
814000 0.5 0.25
815000 0.5 -0.25
816000 0.5 -0.25
817000 1.0 0.25
818000 1.0 -0.25
819000 0.5 0.0
820000 0.5 -0.5
821000 1.0 -0.5
822000 1.0 0.0
823000 1.0 -0.25
824000 1.0 0.0
825000 1.0 0.0
826000 1.0 0.0
827000 0.5 -0.25
828000 1.0 0.0
829000 0.5 0.0
830000 1.0 0.25
831000 1.0 0.75
832000 1.0 0.5
833000 -0.5 -0.25
834000 1.0 0.0
835000 0.5 0.25
836000 0.5 0.0
837000 1.0 -0.25
838000 1.0 -0.25
839000 1.0 0.0
840000 0.5 0.25
841000 0.0 0.25
842000 0.0 -0.25
843000 -0.5 0.0
844000 0.5 -0.25
845000 0.5 -0.25
846000 1.0 0.0
847000 1.0 0.0
848000 0.5 -0.25
849000 1.0 -0.5
850000 0.5 0.25
851000 0.0 0.5
852000 0.5 0.25
853000 1.0 -0.5
854000 0.0 0.25
855000 1.0 0.25
856000 1.0 -0.5
857000 1.0 -0.5
858000 0.0 0.0
859000 0.0 0.25
860000 0.5 0.25
861000 0.5 0.0
862000 1.0 0.25
863000 -0.5 0.0
864000 0.5 -0.75
865000 0.0 0.0
866000 1.0 0.25
867000 0.5 0.5
868000 0.5 -0.5
869000 1.0 -0.25
870000 0.5 -0.5
871000 0.5 0.25
872000 -0.5 0.25
873000 1.0 0.5
874000 -0.5 0.0
875000 0.5 -0.25
876000 1.0 -0.25
877000 1.0 0.25
878000 1.0 0.25
879000 1.0 0.75
880000 0.5 0.25
881000 1.0 0.0
882000 1.0 0.75
883000 0.5 0.75
884000 1.0 0.25
885000 0.5 0.25
886000 1.0 0.0
887000 0.5 0.25
888000 1.0 -0.25
889000 1.0 0.0
890000 0.0 0.0
891000 1.0 -0.25
892000 0.5 0.75
893000 0.5 -0.5
894000 0.5 0.25
895000 0.5 -0.5
896000 0.5 0.5
897000 -0.5 0.25
898000 -0.5 0.0
899000 1.0 0.25
900000 0.5 0.0
901000 1.0 -0.25
902000 0.5 0.25
903000 0.0 0.0
904000 1.0 -0.25
905000 0.0 0.25
906000 0.5 0.0
907000 1.0 0.5
908000 0.5 -0.5
909000 0.0 0.25
910000 0.0 0.25
911000 0.5 0.5
912000 0.5 0.5
